label,params,task,order,keyed_dimension,faithful,free,gap,keyed_drift,knee_rho
xs,1024,process-control,0,procs,1.000000,0.843750,0.156250,0.321093,0.3000
xs,1024,fd-control,1,fds,1.000000,0.750000,0.250000,0.557887,0.2000
xs,1024,file-integrity,2,fs,1.000000,0.375000,0.625000,0.688889,0.2000
xs,1024,content-value,3,fs,1.000000,0.187500,0.812500,0.905556,0.3000
s,8192,process-control,0,procs,1.000000,1.000000,0.000000,0.310649,-1.0000
s,8192,fd-control,1,fds,1.000000,0.781250,0.218750,0.614062,0.3000
s,8192,file-integrity,2,fs,1.000000,0.125000,0.875000,0.911111,0.2000
s,8192,content-value,3,fs,1.000000,0.062500,0.937500,0.983333,0.3000
m,32768,process-control,0,procs,1.000000,0.968750,0.031250,0.293121,-1.0000
m,32768,fd-control,1,fds,1.000000,0.875000,0.125000,0.482812,0.2000
m,32768,file-integrity,2,fs,1.000000,0.406250,0.593750,0.611111,0.2000
m,32768,content-value,3,fs,1.000000,0.093750,0.906250,0.977778,0.5000
l,110592,process-control,0,procs,1.000000,0.968750,0.031250,0.203310,-1.0000
l,110592,fd-control,1,fds,1.000000,0.843750,0.156250,0.542708,0.1000
l,110592,file-integrity,2,fs,1.000000,0.437500,0.562500,0.577778,0.2000
l,110592,content-value,3,fs,1.000000,0.156250,0.843750,0.897778,0.5000
