schedule,label,rho,random_breach,adversarial_breach,mean_calls,n_episodes,horizon
uniform,uniform ρ=0,0.000,0.735000,0.825000,0.000000,200,48
uniform,uniform ρ=0.1,0.100,0.670000,0.805000,4.000000,200,48
uniform,uniform ρ=0.2,0.200,0.610000,0.795000,9.000000,200,48
uniform,uniform ρ=0.3,0.300,0.510000,0.785000,16.000000,200,48
uniform,uniform ρ=0.5,0.500,0.390000,0.740000,24.000000,200,48
uniform,uniform ρ=1,1.000,0.000000,0.000000,48.000000,200,48
model,model self-targeting,,0.630000,0.825000,1.675000,200,48
structure,structure (write-to-jewel),,0.000000,0.000000,3.490000,200,48

prot_foreseen,prot_omissions,prot_hallucinations,benign_foreseen,benign_omissions,benign_hallucinations,protected_recall
53,147,26,128,459,128,0.265000
