section,policy,danger_class,irreversible_fraction,random_breach,adversarial_breach,mean_oracle_calls,mean_rollbacks
cell,after_commit,reversible,,0.000000,0.000000,0.000000,3.883333
cell,after_commit,irreversible,,1.000000,1.000000,0.000000,0.000000
cell,before_commit_free,reversible,,1.000000,1.000000,0.000000,0.000000
cell,before_commit_free,irreversible,,1.000000,1.000000,0.000000,0.000000
cell,before_commit_oracle,reversible,,0.000000,0.000000,48.000000,0.000000
cell,before_commit_oracle,irreversible,,0.000000,0.000000,48.000000,0.000000
cell,routed,reversible,,0.000000,0.000000,0.000000,3.883333
cell,routed,irreversible,,0.000000,0.000000,4.166667,0.000000
cost_law,,,0.000,,0.000000,0.000000,48.000000
cost_law,,,0.250,,0.250000,1.041667,48.000000
cost_law,,,0.500,,0.500000,2.083333,48.000000
cost_law,,,0.750,,0.750000,3.125000,48.000000
cost_law,,,1.000,,1.000000,4.166667,48.000000
