world,danger,n_incidents,policy,avert_rate,mean_collateral,mission_preserved_rate
network,exfil flow to a crown jewel,33,model,0.000000,0.000000,1.000000
network,exfil flow to a crown jewel,33,surgical,0.969697,0.000000,1.000000
network,exfil flow to a crown jewel,33,root_cause,1.000000,0.212121,0.787879
network,exfil flow to a crown jewel,33,min_certified,1.000000,0.030303,0.969697
network,exfil flow to a crown jewel,33,sledgehammer,1.000000,4.000000,0.000000
host,protected file corruption,59,model,0.000000,0.000000,1.000000
host,protected file corruption,59,surgical,0.372881,0.000000,1.000000
host,protected file corruption,59,root_cause,0.762712,0.745763,0.254237
host,protected file corruption,59,min_certified,1.000000,1.474576,0.372881
host,protected file corruption,59,sledgehammer,1.000000,4.711864,0.000000
distributed,agent acts on a stale sensitive value,19,model,0.000000,0.000000,1.000000
distributed,agent acts on a stale sensitive value,19,surgical,1.000000,0.000000,1.000000
distributed,agent acts on a stale sensitive value,19,root_cause,1.000000,0.842105,0.157895
distributed,agent acts on a stale sensitive value,19,min_certified,1.000000,0.000000,1.000000
distributed,agent acts on a stale sensitive value,19,sledgehammer,1.000000,5.789474,0.000000
network (segmentation),jewel reachable from the untrusted set,18,model,0.000000,0.000000,1.000000
network (segmentation),jewel reachable from the untrusted set,18,surgical,0.722222,0.000000,1.000000
network (segmentation),jewel reachable from the untrusted set,18,root_cause,0.722222,0.055556,0.944444
network (segmentation),jewel reachable from the untrusted set,18,min_certified,1.000000,0.833333,0.722222
network (segmentation),jewel reachable from the untrusted set,18,sledgehammer,1.000000,1.888889,0.222222
