panel,policy,rho,dollars,h_eps,ci_lo,ci_hi,b_quarter,ceiling,winner,ratio
frontier,metamorphic,0.0,0.0000,0.2500,0.0000,0.7500,,,,
frontier,metamorphic,0.25,20.0000,0.2500,0.0000,0.7500,,,,
frontier,metamorphic,0.5,88.0000,0.2500,0.0000,0.7500,,,,
frontier,metamorphic,0.75,104.0000,0.2500,0.0000,0.7500,,,,
frontier,metamorphic,1.0,156.0000,0.2500,0.0000,0.7500,,,,
frontier,symbolic,0.0,0.0000,0.2500,0.0000,0.7500,,,,
frontier,symbolic,0.25,76.0000,0.7500,0.2500,1.0000,,,,
frontier,symbolic,0.5,172.0000,0.7500,0.2500,1.0000,,,,
frontier,symbolic,0.75,204.0000,0.7500,0.2500,1.0000,,,,
frontier,symbolic,1.0,308.0000,0.7500,0.2500,1.0000,,,,
frontier,bit_exact,0.0,0.0000,0.2500,0.0000,0.7500,,,,
frontier,bit_exact,0.25,128.0000,2.0000,1.0000,4.0000,,,,
frontier,bit_exact,0.5,256.0000,2.0000,1.0000,4.0000,,,,
frontier,bit_exact,0.75,384.0000,24.0000,24.0000,24.0000,,,,
frontier,bit_exact,1.0,512.0000,32.0000,32.0000,32.0000,,,,
frontier,escalate,0.0,0.0000,0.2500,0.0000,0.7500,,,,
frontier,escalate,0.25,170.0000,2.0000,1.0000,4.0000,,,,
frontier,escalate,0.5,333.0000,2.0000,1.0000,4.0000,,,,
frontier,escalate,0.75,522.0000,24.0000,24.0000,24.0000,,,,
frontier,escalate,1.0,691.5000,32.0000,32.0000,32.0000,,,,
verdict,bit_exact,,,,,,128.0000,32.0000,bit_exact,0.0625
