label,epsilon,mean_h,ci_low,ci_high,mean_calls,n
factored/drift,0.0,3.1,1.6,4.7,7.0,10
factored/drift,0.05,3.1,1.6,4.7,7.0,10
factored/drift,0.1,3.3,1.6,5.2,7.0,10
factored/fixed,0.0,2.6,1.6,3.6,7.0,10
factored/fixed,0.05,2.6,1.6,3.6,7.0,10
factored/fixed,0.1,2.8,1.6,4.0,7.0,10
factored/uncertainty,0.0,5.8,3.8,7.9,7.0,10
factored/uncertainty,0.05,5.8,3.8,7.9,7.0,10
factored/uncertainty,0.1,6.5,4.1,9.1,7.0,10
flat/drift,0.0,0.4,0.1,0.7,7.0,10
flat/drift,0.05,0.4,0.1,0.7,7.0,10
flat/drift,0.1,0.4,0.1,0.7,7.0,10
flat/fixed,0.0,1.1,1.0,1.3,7.0,10
flat/fixed,0.05,1.1,1.0,1.3,7.0,10
flat/fixed,0.1,1.2,1.0,1.5,7.0,10
flat/uncertainty,0.0,0.5,0.1,0.9,7.0,10
flat/uncertainty,0.05,0.5,0.1,0.9,7.0,10
flat/uncertainty,0.1,0.5,0.1,0.9,7.0,10
