signal,divergence
0.000522,0.000000
0.020250,0.000000
0.001493,0.000000
0.014410,0.000000
0.025130,0.000000
0.000342,0.000000
0.052032,0.000000
0.000699,0.000000
0.229954,0.040000
0.089882,0.037037
0.070643,0.037037
0.001839,0.037037
0.062685,0.037037
0.000430,0.037037
0.002251,0.037037
0.061878,0.037037
0.010676,0.034483
0.038888,0.034483
0.023961,0.034483
0.094729,0.032258
0.046187,0.032258
0.094233,0.030303
0.110971,0.000000
0.111792,0.000000
0.098650,0.000000
0.002397,0.000000
0.114276,0.000000
0.010607,0.000000
0.083305,0.000000
0.016175,0.000000
0.019722,0.000000
0.226360,0.025641
0.000725,0.025641
0.116911,0.025641
0.116624,0.025641
0.116683,0.024390
0.081442,0.023256
0.114189,0.023256
0.106802,0.022222
0.000282,0.022222
0.057242,0.086957
0.035167,0.043478
0.030968,0.106383
0.000332,0.063830
0.019837,0.061224
0.116828,0.061224
0.249115,0.083333
0.116401,0.080000
0.057873,0.080000
0.217703,0.098039
0.009342,0.098039
0.174677,0.098039
0.088190,0.098039
0.085739,0.094340
0.190573,0.094340
0.108087,0.074074
0.176673,0.074074
0.151249,0.074074
0.115936,0.071429
0.140182,0.071429
0.107555,0.071429
0.138798,0.122807
0.117674,0.087719
0.093164,0.087719
0.003135,0.000000
0.011323,0.000000
0.000617,0.000000
0.053351,0.000000
0.062385,0.000000
0.026182,0.000000
0.025494,0.000000
0.004900,0.000000
0.001965,0.000000
0.008847,0.000000
0.004671,0.000000
0.018067,0.000000
0.059816,0.000000
0.008572,0.000000
0.004729,0.000000
0.000725,0.000000
0.006667,0.000000
0.114967,0.000000
0.150050,0.000000
0.000534,0.000000
0.015420,0.000000
0.119258,0.000000
0.115508,0.000000
0.156984,0.000000
0.113317,0.000000
0.028562,0.000000
0.088026,0.000000
0.195403,0.027027
0.085654,0.025641
0.000437,0.025641
0.195770,0.025641
0.031807,0.024390
0.019146,0.050000
0.175332,0.050000
0.110047,0.024390
0.001019,0.024390
0.115527,0.024390
0.115527,0.024390
0.001019,0.024390
0.115333,0.024390
0.012859,0.023256
0.146397,0.090909
0.001435,0.045455
0.000824,0.069767
0.102193,0.023256
0.231444,0.023256
0.117600,0.022222
0.112830,0.086957
0.001615,0.066667
0.088648,0.022222
0.081226,0.022222
0.227937,0.043478
0.000818,0.043478
0.231381,0.063830
0.068171,0.066667
0.000873,0.066667
0.000873,0.066667
0.125747,0.066667
0.158584,0.066667
0.231929,0.086957
0.213390,0.086957
0.229820,0.086957
0.044325,0.086957
0.001043,0.086957
0.000690,0.000000
0.002080,0.000000
0.003813,0.000000
0.013647,0.000000
0.000325,0.000000
0.057485,0.000000
0.025094,0.000000
0.038604,0.000000
0.000404,0.000000
0.093370,0.000000
0.037477,0.000000
0.003279,0.000000
0.020134,0.000000
0.075902,0.000000
0.000409,0.000000
0.032640,0.000000
0.033498,0.000000
0.068348,0.000000
0.007551,0.000000
0.107751,0.000000
0.211277,0.000000
0.000940,0.000000
0.004844,0.000000
0.001050,0.000000
0.003090,0.000000
0.003548,0.000000
0.186223,0.000000
0.056507,0.000000
0.009489,0.000000
0.220106,0.034483
0.010073,0.034483
0.220106,0.034483
0.000753,0.034483
0.114104,0.032258
0.104672,0.030303
0.000493,0.030303
0.000612,0.030303
0.059089,0.030303
0.063381,0.030303
0.019839,0.030303
0.000497,0.030303
0.089078,0.028571
0.000295,0.028571
0.109254,0.028571
0.106764,0.027027
0.001021,0.027027
0.216171,0.052632
0.105959,0.050000
0.152044,0.050000
0.109887,0.047619
0.081502,0.047619
0.000410,0.047619
0.114709,0.023256
0.190154,0.023256
0.089983,0.022222
0.053880,0.022222
0.163784,0.022222
0.115055,0.022222
0.113854,0.022222
0.000459,0.022222
0.000471,0.022222
0.145704,0.022222
0.000471,0.022222
0.113026,0.021277
0.001639,0.000000
0.001516,0.000000
0.006181,0.000000
0.000925,0.000000
0.110551,0.000000
0.000593,0.000000
0.016862,0.000000
0.091547,0.000000
0.000581,0.000000
0.081107,0.000000
0.110283,0.000000
0.013946,0.000000
0.002291,0.000000
0.002204,0.000000
0.012588,0.000000
0.011873,0.000000
0.006908,0.040000
0.138450,0.040000
0.001007,0.040000
0.109702,0.037037
0.002713,0.034483
0.001090,0.034483
0.001090,0.034483
0.001090,0.034483
0.042347,0.034483
0.127541,0.066667
0.231234,0.066667
0.231234,0.066667
0.001090,0.066667
0.127551,0.096774
0.014463,0.096774
0.105495,0.125000
0.154083,0.125000
0.154086,0.151515
0.026301,0.151515
0.064517,0.142857
0.197984,0.142857
0.000686,0.142857
0.089656,0.142857
0.091995,0.111111
0.115486,0.111111
0.150574,0.111111
0.142295,0.111111
0.109897,0.105263
0.009841,0.100000
0.106382,0.095238
0.110498,0.095238
0.052559,0.090909
0.153663,0.090909
0.042551,0.090909
0.109192,0.086957
0.116304,0.090909
0.000279,0.090909
0.107739,0.090909
0.111955,0.095238
0.108412,0.095238
0.107076,0.095238
0.109341,0.069767
0.103666,0.066667
0.083118,0.066667
0.184564,0.066667
0.064894,0.066667
0.077777,0.066667
0.160921,0.066667
