n_hosts,label,metric,mean,ci_lo,ci_hi,n
5,5,one_step_acc_id,0.656250,0.640625,0.671875,3
5,5,h_free_id,0.000000,0.000000,0.000000,3
5,5,h_indep_id,1.913106,1.782609,2.047619,3
5,5,horizon_efficiency_id,0.000000,0.000000,0.000000,3
5,5,one_step_acc_ood,0.666667,0.656250,0.687500,3
5,5,h_free_ood,0.000000,0.000000,0.000000,3
5,5,h_indep_ood,2.006061,1.909091,2.200000,3
5,5,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
10,10,one_step_acc_id,0.625000,0.609375,0.640625,3
10,10,h_free_id,0.000000,0.000000,0.000000,3
10,10,h_indep_id,1.669758,1.560000,1.782609,3
10,10,horizon_efficiency_id,0.000000,0.000000,0.000000,3
10,10,one_step_acc_ood,0.671875,0.671875,0.671875,3
10,10,h_free_ood,0.000000,0.000000,0.000000,3
10,10,h_indep_ood,2.047619,2.047619,2.047619,3
10,10,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
20,20,one_step_acc_id,0.583333,0.578125,0.593750,3
20,20,h_free_id,0.000000,0.000000,0.000000,3
20,20,h_indep_id,1.400760,1.370370,1.461538,3
20,20,horizon_efficiency_id,0.000000,0.000000,0.000000,3
20,20,one_step_acc_ood,0.671875,0.671875,0.671875,3
20,20,h_free_ood,0.000000,0.000000,0.000000,3
20,20,h_indep_ood,2.047619,2.047619,2.047619,3
20,20,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
40,40,one_step_acc_id,0.588542,0.578125,0.593750,3
40,40,h_free_id,0.000000,0.000000,0.000000,3
40,40,h_indep_id,1.431149,1.370370,1.461538,3
40,40,horizon_efficiency_id,0.000000,0.000000,0.000000,3
40,40,one_step_acc_ood,0.666667,0.656250,0.671875,3
40,40,h_free_ood,0.000000,0.000000,0.000000,3
40,40,h_indep_ood,2.001443,1.909091,2.047619,3
40,40,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
