scale,params,metric,mean,ci_lo,ci_hi,n
xs,1024,one_step_acc_id,0.730556,0.558333,0.825000,3
xs,1024,h_free_id,6.833333,1.000000,12.250000,3
xs,1024,h_indep_id,3.398609,1.264151,4.714286,3
xs,1024,horizon_efficiency_id,1.702867,0.791045,2.598485,3
xs,1024,one_step_acc_ood,0.819444,0.691667,0.883333,3
xs,1024,h_free_ood,7.083333,1.250000,14.000000,3
xs,1024,h_indep_ood,5.795367,2.243243,7.571429,3
xs,1024,horizon_efficiency_ood,1.066246,0.557229,1.849057,3
s,8192,one_step_acc_id,0.850000,0.841667,0.858333,3
s,8192,h_free_id,14.250000,11.750000,16.500000,3
s,8192,h_indep_id,5.680427,5.315789,6.058824,3
s,8192,horizon_efficiency_id,2.508184,2.073529,2.727723,3
s,8192,one_step_acc_ood,0.919444,0.900000,0.941667,3
s,8192,h_free_ood,18.416667,13.500000,25.000000,3
s,8192,h_indep_ood,12.047619,9.000000,16.142857,3
s,8192,horizon_efficiency_ood,1.523800,1.500000,1.548673,3
m,32768,one_step_acc_id,0.816667,0.791667,0.833333,3
m,32768,h_free_id,17.000000,13.250000,19.250000,3
m,32768,h_indep_id,4.504762,3.800000,5.000000,3
m,32768,horizon_efficiency_id,3.858799,2.810606,5.065789,3
m,32768,one_step_acc_ood,0.902778,0.891667,0.908333,3
m,32768,h_free_ood,20.500000,16.750000,24.500000,3
m,32768,h_indep_ood,9.349650,8.230769,9.909091,3
m,32768,horizon_efficiency_ood,2.236860,1.690367,2.976636,3
l,110592,one_step_acc_id,0.813889,0.800000,0.833333,3
l,110592,h_free_id,17.166667,15.000000,19.750000,3
l,110592,h_indep_id,4.405797,4.000000,5.000000,3
l,110592,horizon_efficiency_id,3.948067,3.350000,4.937500,3
l,110592,one_step_acc_ood,0.891667,0.875000,0.916667,3
l,110592,h_free_ood,28.416667,25.750000,30.000000,3
l,110592,h_indep_ood,8.523810,7.000000,11.000000,3
l,110592,horizon_efficiency_ood,3.507617,2.340909,4.285714,3
xl,262144,one_step_acc_id,0.863889,0.808333,0.900000,3
xl,262144,h_free_id,13.916667,7.500000,19.500000,3
xl,262144,h_indep_id,6.929607,4.217391,9.000000,3
xl,262144,horizon_efficiency_id,1.997570,1.638889,2.575472,3
xl,262144,one_step_acc_ood,0.902778,0.850000,0.941667,3
xl,262144,h_free_ood,12.166667,4.000000,25.750000,3
xl,262144,h_indep_ood,10.936508,5.666667,16.142857,3
xl,262144,horizon_efficiency_ood,0.971550,0.613636,1.595133,3
xxl,409600,one_step_acc_id,0.825000,0.758333,0.866667,3
xxl,409600,h_free_id,9.583333,1.750000,14.000000,3
xxl,409600,h_indep_id,5.101533,3.137931,6.500000,3
xxl,409600,horizon_efficiency_id,1.676094,0.557692,2.470588,3
xxl,409600,one_step_acc_ood,0.880556,0.850000,0.900000,3
xxl,409600,h_free_ood,10.416667,1.750000,20.000000,3
xxl,409600,h_indep_ood,7.632479,5.666667,9.000000,3
xxl,409600,horizon_efficiency_ood,1.264762,0.308824,2.429907,3
