difficulty,epsilon,rho,mean_h,ci_low,ci_high,n
structural,0.0,0.0,9.666666666666666,7.333333333333333,12.25,12
structural,0.0,0.05,9.666666666666666,7.333333333333333,12.25,12
structural,0.0,0.1,9.666666666666666,7.333333333333333,12.25,12
structural,0.0,0.2,10.583333333333334,8.25,13.166666666666666,12
structural,0.0,0.3,11.25,8.75,13.666666666666666,12
structural,0.0,0.5,12.5,9.666666666666666,15.166666666666666,12
structural,0.0,1.0,48.0,48.0,48.0,12
structural,0.05,0.0,10.333333333333334,7.583333333333333,13.333333333333334,12
structural,0.05,0.05,10.333333333333334,7.583333333333333,13.333333333333334,12
structural,0.05,0.1,10.333333333333334,7.583333333333333,13.333333333333334,12
structural,0.05,0.2,11.333333333333334,8.666666666666666,14.333333333333334,12
structural,0.05,0.3,12.166666666666666,9.25,15.083333333333334,12
structural,0.05,0.5,13.833333333333334,10.5,17.0,12
structural,0.05,1.0,48.0,48.0,48.0,12
structural,0.1,0.0,12.833333333333334,9.666666666666666,15.916666666666666,12
structural,0.1,0.05,12.833333333333334,9.666666666666666,15.916666666666666,12
structural,0.1,0.1,12.833333333333334,9.666666666666666,15.916666666666666,12
structural,0.1,0.2,13.916666666666666,10.833333333333334,16.666666666666668,12
structural,0.1,0.3,13.833333333333334,10.666666666666666,16.666666666666668,12
structural,0.1,0.5,16.083333333333332,12.666666666666666,18.916666666666668,12
structural,0.1,1.0,48.0,48.0,48.0,12
