manifest_hash,world,proposer,tier,mean_faithful,n_seeds
ae3ea67e06fa844f,network,null,floor,0.002083,24
ae3ea67e06fa844f,network,learned-lo,learned-lo,0.048958,24
ae3ea67e06fa844f,network,learned-mid,learned-mid,0.094792,24
ae3ea67e06fa844f,network,learned-hi,learned-hi,0.344271,24
ae3ea67e06fa844f,network,oracle-ceiling,ceiling,1.000000,24
ae3ea67e06fa844f,host,null,floor,0.000000,24
ae3ea67e06fa844f,host,learned-lo,learned-lo,0.032813,24
ae3ea67e06fa844f,host,learned-mid,learned-mid,0.052604,24
ae3ea67e06fa844f,host,learned-hi,learned-hi,0.167708,24
ae3ea67e06fa844f,host,oracle-ceiling,ceiling,1.000000,24
ae3ea67e06fa844f,filesystem,null,floor,0.000000,24
ae3ea67e06fa844f,filesystem,learned-lo,learned-lo,0.029167,24
ae3ea67e06fa844f,filesystem,learned-mid,learned-mid,0.048958,24
ae3ea67e06fa844f,filesystem,learned-hi,learned-hi,0.182813,24
ae3ea67e06fa844f,filesystem,oracle-ceiling,ceiling,1.000000,24

world,tau_mean,tau_lo,tau_hi,min_adjacent_gap,max_seed_noise,discriminative
network,1.000000,1.000000,1.000000,0.044010,0.015455,True
host,1.000000,1.000000,1.000000,0.019604,0.007386,True
filesystem,1.000000,1.000000,1.000000,0.019604,0.007386,True
