world,mode,m,mean_prefix,pref_lo,pref_hi,n
network,variance,1,4.841176,4.408824,5.235294,340
network,variance,2,6.996016,6.521912,7.458167,251
network,variance,4,8.693780,8.205742,9.186603,209
network,variance,8,10.005376,9.548387,10.403226,186
network,bias,1,5.186335,4.714286,5.658385,322
network,bias,2,5.186335,4.714286,5.658385,322
network,bias,4,5.186335,4.714286,5.658385,322
network,bias,8,5.186335,4.714286,5.658385,322
host,variance,1,3.528868,3.230947,3.856813,433
host,variance,2,5.330128,4.945513,5.698718,312
host,variance,4,7.194215,6.768595,7.595041,242
host,variance,8,8.658654,8.230769,9.072115,208
host,bias,1,3.776156,3.437956,4.099757,411
host,bias,2,3.776156,3.437956,4.099757,411
host,bias,4,3.776156,3.437956,4.099757,411
host,bias,8,3.776156,3.437956,4.099757,411
filesystem,variance,1,3.120763,2.853814,3.391949,472
filesystem,variance,2,4.717201,4.349854,5.052478,343
filesystem,variance,4,6.400749,6.018727,6.797753,267
filesystem,variance,8,7.796460,7.384956,8.168142,226
filesystem,bias,1,3.296703,3.043956,3.575824,455
filesystem,bias,2,3.296703,3.043956,3.575824,455
filesystem,bias,4,3.296703,3.043956,3.575824,455
filesystem,bias,8,3.296703,3.043956,3.575824,455
