kind,x,precision,recall,f1,n_flagged,mean_calls
faithful,8,1.000000,1.000000,1.000000,0.7083,-1
free,8,0.791667,0.729167,0.736111,0.6250,-1
faithful,14,1.000000,1.000000,1.000000,1.5417,-1
free,14,0.687500,0.500000,0.520833,1.1250,-1
faithful,20,1.000000,1.000000,1.000000,2.0833,-1
free,20,0.743056,0.534722,0.581944,1.4583,-1
faithful,26,1.000000,1.000000,1.000000,2.5417,-1
free,26,0.784722,0.579861,0.625000,1.7917,-1
grounded,0.0,0.743056,0.534722,0.581944,1.4583,0.0000
grounded,0.1,1.000000,1.000000,1.000000,2.0833,2.0000
grounded,0.2,1.000000,1.000000,1.000000,2.0833,4.0000
grounded,0.3,0.979167,0.916667,0.933333,1.9167,6.0000
grounded,0.5,1.000000,1.000000,1.000000,2.0833,10.0000
grounded,1.0,1.000000,1.000000,1.000000,2.0833,20.0000
